title,company,location,work_type,level,compensation,link,id,ai_type
AI Engineer - NYC,AegisAI Security,"New York City, NY, USA",In-Office,Mid level,,https://builtin.com/job/ai-engineer-nyc/7234544,7234544,ai-first
Senior AI Engineer,Doctronic,"New York City, NY, USA",In-Office,Senior level,200K-350K Annually,https://builtin.com/job/senior-ai-engineer/8111735,8111735,ai-first
"Staff Software Engineer, AI Phone Assistant",Zocdoc,USA,Remote or Hybrid,Senior level,180K-270K Annually,https://builtin.com/job/staff-software-engineer-ai-phone-assistant/8166611,8166611,ai-support
Applied AI Engineer,Tenex (tenex.co),"New York City, NY, USA",In-Office,Senior level,250K-800K Annually,https://builtin.com/job/applied-ai-engineer/8095486,8095486,ai-first
Staff Machine Learning Engineer (Platform - Risk AI/ML),Coinbase,USA,Remote,Senior level,218K-257K Annually,https://builtin.com/job/staff-machine-learning-engineer-platform-risk-ai-ml/8392253,8392253,ai-first
Lead AI Engineer,Guardian Life,3 Locations,In-Office,Senior level,119K-195K Annually,https://builtin.com/job/ai-engineer/7508143,7508143,ai-first
"Staff Software Engineer, AI",SoFi,2 Locations,Hybrid,Senior level,,https://builtin.com/job/staff-software-engineer-ai/7144973,7144973,ai-support
Principal AI/ML Engineer,Onebrief,United States,Remote,Expert/Leader,265K-320K Annually,https://builtin.com/job/principal-ai-ml-engineer/7730986,7730986,ai-first
Sr. AI/Machine Learning Engineer - Supply Chain,Samsara,United States,Remote or Hybrid,Senior level,158K-239K Annually,https://builtin.com/job/senior-applied-scientist-ii-supply-chain/7369934,7369934,ai-first
AI Engineer,Distyl AI,2 Locations,In-Office,Junior,,https://builtin.com/job/forward-deployed-ai-engineer-all-levels/6804125,6804125,ai-first
Senior AI Engineer,Horizon Media,"New York, NY, USA",In-Office,Senior level,140K-200K Annually,https://builtin.com/job/senior-cloud-engineer/6214169,6214169,ai-first
"Senior AI Engineer, Conversational AI & Agentic Systems",Blooming Health,"New York, NY, USA",In-Office,Senior level,150K-210K Annually,https://builtin.com/job/senior-ai-engineer-conversational-ai-agentic-systems/7937097,7937097,ai-first
AI Engineer,Vatic Labs,"New York, NY, USA",In-Office,Mid level,175K-275K Annually,https://builtin.com/job/ai-engineer/3995843,3995843,ai-first
Senior Palantir AI Engineer (Palantir AIP),TWG Global,2 Locations,In-Office or Remote,Senior level,190K-200K Annually,https://builtin.com/job/senior-palantir-foundry-engineer/7985424,7985424,ai-first
AI Engineer,Braintrust,3 Locations,In-Office,Mid level,,https://builtin.com/job/ai-engineer/8181364,8181364,ai-first
Senior Software Engineer (AI Products),Mutiny,"New York City, NY, USA",In-Office,Senior level,180K-225K Annually,https://builtin.com/job/engineering-lead/4476482,4476482,ai-support
Founding AI Engineer,Better Half,United States,Remote,Mid level,,https://builtin.com/job/founding-ai-engineer/8168967,8168967,ai-first
AI Engineer (Pre-Sales),Adaptive ML,2 Locations,In-Office,Senior level,,https://builtin.com/job/ai-engineer-pre-sales/7208308,7208308,ai-first
AI Engineer (Applied Scientist) III,Cedar,United States,Remote,Mid level,170K-200K Annually,https://builtin.com/job/ai-engineer-applied-scientist-iii/7529379,7529379,ai-first
AI Engineer Internship,Solva,"New York City, NY, USA",In-Office,Internship,,https://builtin.com/job/ai-engineer-internship/8323813,8323813,ai-first
Corporate Vice President -  Google Cloud Platform Engineer - Enterprise Cloud & AI Platform,New York Life Insurance Company,"New York, NY, USA",In-Office,Senior level,148K-211K Annually,https://builtin.com/job/corporate-vice-president-gcp-platform-engineer-enterprise-cloud-ai-platform/8282744,8282744,ai-support
Lead AI/ML Engineer (NLP) - Remote,Optum,6 Locations,In-Office or Remote,Senior level,107K-194K Annually,https://builtin.com/job/lead-ai-ml-engineer-nlp-remote/8282091,8282091,ai-first
AI Engineer,Adaptive ML,3 Locations,In-Office,Senior level,,https://builtin.com/job/solutions-engineer/3985633,3985633,ai-first
Full Stack + AI Engineer,Gesture,"New York, NY, USA",In-Office,Mid level,,https://builtin.com/job/full-stack-ai-engineer/7412075,7412075,ai-first
Sr Data Governance Engineer (AI),NBCUniversal,"New York, NY, USA",Hybrid,Senior level,115K-145K Annually,https://builtin.com/job/sr-data-governance-engineer-ai/8275319,8275319,ai-support
Applied AI Engineer (Spatial and Embodied AI),Medal,2 Locations,In-Office,Senior level,150K-350K Annually,https://builtin.com/job/applied-ai-engineer-spatial-and-embodied-ai/8315107,8315107,ai-first
Founding Staff AI Engineer,Qumis,2 Locations,In-Office,Senior level,150K-250K Annually,https://builtin.com/job/founding-staff-ai-engineer/8309932,8309932,ai-first
"Staff Software Engineer, Full-Stack - Enterprise Gen AI",Scale AI,3 Locations,In-Office,Junior,248K-311K Annually,https://builtin.com/job/software-engineer-frontend-enterprise-gen-ai/4213099,4213099,ai-support
"Rust, AI Platform Engineer, Director",BlackRock,"New York, NY, USA",In-Office,Expert/Leader,215K-275K Annually,https://builtin.com/job/rust-ai-platform-engineer-director/6813336,6813336,ai-support
AI Lead Software Engineer - Remote,Commerce,United States,Remote,Senior level,165K-290K Annually,https://builtin.com/job/lead-software-engineer/6995744,6995744,ai-support
Technical Operations Engineer III - Agentic AI (Remote),CrowdStrike,2 Locations,Remote or Hybrid,Mid level,120K-180K Annually,https://builtin.com/job/technical-operations-engineer-iii-agentic-ai-remote/8260418,8260418,ai-support
"Staff Software Engineer, Applied AI",Webflow,3 Locations,Remote,Senior level,154K-248K Annually,https://builtin.com/job/staff-software-engineer-applied-ai/7238249,7238249,ai-support
Senior Machine Learning Engineer - Risk AI/ML,Coinbase,USA,Remote,Senior level,186K-225K Annually,https://builtin.com/job/senior-machine-learning-engineer-risk-ai-ml/8363514,8363514,ai-first
Senior Artificial Intelligence Engineer,"MESO SCALE DIAGNOSTICS, LLC.",United States,Remote,Senior level,101K-155K Annually,https://builtin.com/job/senior-artificial-intelligence-engineer/8400120,8400120,ai-first
AI Engineer,Guild Mortgage,USA,Remote,Mid level,106K-140K Annually,https://builtin.com/job/ai-engineer/8399099,8399099,ai-first
"Senior Software Engineer, AI",Webflow,3 Locations,Remote,Senior level,132K-207K Annually,https://builtin.com/job/senior-software-engineer-ai/7201524,7201524,ai-support
AI Integrations Staff Engineer,Vetcove,USA,Remote,Mid level,90K-180K Annually,https://builtin.com/job/ai-integrations-staff-engineer/7939728,7939728,ai-support
Applied AI Engineer,PermitFlow,"New York, NY, USA",In-Office,Mid level,175K-250K Annually,https://builtin.com/job/applied-ai-engineer/6779324,6779324,ai-first
AI Engineer - Backend,Traversal,"New York, NY, USA",In-Office,Mid level,150K-300K Annually,https://builtin.com/job/ai-engineer-backend/7173247,7173247,ai-first
Staff Software Engineer - AI Growth Lead,Coinbase,USA,Remote,Senior level,218K-257K Annually,https://builtin.com/job/staff-software-engineer-ai-growth-lead/8345952,8345952,ai-support
Senior Software Engineer - AI Platform (AI Acceleration),Coinbase,USA,Remote,Senior level,186K-219K Annually,https://builtin.com/job/senior-software-engineer-ai-platform-ai-acceleration/8345913,8345913,ai-support
Machine Learning Engineer - Risk AI/ML,Coinbase,USA,Remote,Mid level,162K-190K Annually,https://builtin.com/job/machine-learning-engineer-risk-ai-ml/8345870,8345870,ai-first
Principal AI Engineer (Remote),TENEX.AI,USA,Remote,Expert/Leader,,https://builtin.com/job/principal-ai-engineer-remote/7483844,7483844,ai-first
Staff AI Engineer,Loop AI - Delivery Intelligence Platform,"New York, NY, USA",In-Office,Senior level,200K-300K Annually,https://builtin.com/job/staff-ai-engineer/8297866,8297866,ai-first
AI First Software Engineer - Senior Associate,PwC,67 Locations,Hybrid,Mid level,77K-202K Annually,https://builtin.com/job/ai-first-software-engineer-senior-associate/7327457,7327457,ai-support
AI First Software Engineer - Manager,PwC,68 Locations,Hybrid,Senior level,99K-232K Annually,https://builtin.com/job/ai-first-software-engineer-manager/7327471,7327471,ai-support
Conversational AI Engineer,Zillow,USA,Remote,Senior level,130K-218K Annually,https://builtin.com/job/conversational-ai-engineer/8348227,8348227,ai-first
AI Engineer,Cinder,"New York, NY, USA",In-Office,Senior level,200K-250K Annually,https://builtin.com/job/ai-engineer/8082491,8082491,ai-first
"Principal, AI Data Engineer (Remote)",CrowdStrike,USA,Remote or Hybrid,Senior level,170K-260K Annually,https://builtin.com/job/principal-ai-data-engineer-remote/8194670,8194670,ai-support
AI Engineer,Chaos Labs,3 Locations,Remote,Senior level,130K-200K Annually,https://builtin.com/job/ai-engineer/8383234,8383234,ai-first
Senior AI Engineer,Sparq,United States,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/7579131,7579131,ai-first
AI Engineer,Bobsled,US,Remote,Junior,,https://builtin.com/job/ai-engineer/7738766,7738766,ai-first
"Senior Software Engineer, Data & AI Engineering (US)",Scrunch AI,USA,Remote,Senior level,,https://builtin.com/job/senior-software-engineer-data-ai-engineering-us/7648944,7648944,ai-support
Applied AI Engineer,Valence,3 Locations,In-Office or Remote,Mid level,,https://builtin.com/job/applied-ai-engineer/8294889,8294889,ai-first
"Senior Manager, Solutions Architecture , AI & Developer Platform",Cloudflare,3 Locations,Remote or Hybrid,Senior level,244K-336K Annually,https://builtin.com/job/senior-manager-solutions-architecture-ai-developer-platform/8084392,8084392,ai-support
Applied AI Engineer,Oscar Health,"New York, NY, USA",In-Office,Senior level,181K-237K Annually,https://builtin.com/job/applied-ai-engineer/8294039,8294039,ai-first
Software Engineer - AI Infrastructure,Assembled,"New York, NY, USA",In-Office,Senior level,135K-280K Annually,https://builtin.com/job/software-engineer-ai-infrastructure/7326423,7326423,ai-support
Software Engineer - AI Agents,Assembled,"New York, NY, USA",In-Office,Senior level,135K-280K Annually,https://builtin.com/job/software-engineer-ai-agents/7312223,7312223,ai-support
Senior Software Engineer (Developer Tools and AI),Squarespace,"New York City, NY, USA",Hybrid,Senior level,129K-232K Annually,https://builtin.com/job/senior-software-engineer-developer-tools/7099873,7099873,ai-support
AI Engineer,Ensemble Health Partners,United States,Remote,Senior level,,https://builtin.com/job/ai-engineer/4133741,4133741,ai-first
Senior Marketing AI Data Engineer,Samsara,United States,Remote or Hybrid,Senior level,112K-170K Annually,https://builtin.com/job/senior-marketing-ai-data-engineer/8180915,8180915,ai-support
"AI Engineer, IS",Point72,United States,Remote,Senior level,175K-225K Annually,https://builtin.com/job/ai-engineer/7445802,7445802,ai-first
AI Engineer,Rilla,"New York City, NY, USA",In-Office,Mid level,200K-300K Annually,https://builtin.com/job/ai-engineer/6707113,6707113,ai-first
Senior AI Engineer,Resonance Companies,"New York, NY, USA",In-Office,Senior level,,https://builtin.com/job/senior-ai-engineer/6926889,6926889,ai-first
"Applied AI, Technical Lead - Forward Deployed AI Engineer",Mistral AI,"New York, NY, USA",Hybrid,Senior level,,https://builtin.com/job/applied-ai-technical-lead-forward-deployed-ai-engineer-nyc/7831392,7831392,ai-first
Generative AI Engineer,Regard,3 Locations,Hybrid,Mid level,170K-240K Annually,https://builtin.com/job/generative-ai-engineer/7844529,7844529,ai-first
Senior Staff AI Engineer,LiveRamp,2 Locations,In-Office,Senior level,177K-257K Annually,https://builtin.com/job/senior-staff-ai-engineer/7861740,7861740,ai-first
Platform Engineer – AI/ML Infrastructure,Deepgram,USA,Remote,Senior level,160K-220K Annually,https://builtin.com/job/platform-engineer-ai-ml-infrastructure/7416435,7416435,ai-support
"Staff AI Engineer - Grafana Ops, AI/ML | USA | Remote",Grafana Labs,United States,Remote,Mid level,175K-210K Annually,https://builtin.com/job/staff-ai-engineer-grafana-ops-ai-ml-usa-remote/8076344,8076344,ai-first
Senior AI Engineer (Rapid Prototyping & Analytics ),Prompt Therapy Solutions Inc,USA,Remote,Senior level,160K-220K Annually,https://builtin.com/job/senior-ai-engineer-rapid-prototyping-analytics/8102843,8102843,ai-first
Senior AI Engineer,The College Board,USA,Remote,Senior level,150K-163K Annually,https://builtin.com/job/senior-ai-engineer/7602446,7602446,ai-first
Staff Applied AI Engineer,StackBlitz,USA,Remote,Senior level,,https://builtin.com/job/staff-applied-ai-engineer/8363829,8363829,ai-first
Senior Associate - Senior Software Engineer - AI & Cloud Platforms,New York Life Insurance Company,"New York, NY, USA",In-Office,Senior level,100K-143K Annually,https://builtin.com/job/senior-associate-senior-software-engineer-ai-cloud-platforms/8219705,8219705,ai-support
Applied AI Engineer,Humana,5 Locations,In-Office,Senior level,142K-196K Annually,https://builtin.com/job/senior-ai-engineer/7528309,7528309,ai-first
Staff AI Engineer - Tower Research Ventures,Tower Research Capital,"New York, NY, USA",In-Office,Senior level,175K-250K Annually,https://builtin.com/job/staff-ai-engineer-tower-research-ventures/7601926,7601926,ai-first
Principal AI/ML Engineer - AdTech,Zeta Global,United States,Remote or Hybrid,Expert/Leader,300K-400K Annually,https://builtin.com/job/principal-ai-ml-engineer-adtech/7514379,7514379,ai-first
AI Engineer,"Metova, Inc.",5 Locations,Remote,Senior level,,https://builtin.com/job/ai-engineer/7937007,7937007,ai-first
Senior Applied AI Engineer,Clarium,US,Remote,Senior level,,https://builtin.com/job/senior-applied-ai-engineer/7936875,7936875,ai-first
Senior AI Engineer,Q-Centrix,USA,Remote or Hybrid,Senior level,130K-150K Annually,https://builtin.com/job/senior-ai-engineer/7940794,7940794,ai-first
EverPro - Senior AI Engineer,EverCommerce,US,Remote,Senior level,145K-165K Annually,https://builtin.com/job/everpro-senior-ai-engineer/7686766,7686766,ai-first
AI Engineer II,VCU Health,USA,Remote,Senior level,,https://builtin.com/job/ai-engineer-ii/7925663,7925663,ai-first
"Staff AI Engineer, GenAI",Teladoc Health,USA,Remote,Senior level,170K-190K Annually,https://builtin.com/job/staff-ai-engineer-genai/8343853,8343853,ai-first
"Lead Machine Learning Engineer (Gen AI, Python, Go, AWS)",Capital One,4 Locations,Hybrid,Senior level,197K-246K Annually,https://builtin.com/job/lead-machine-learning-engineer-gen-ai-python-go-aws/8203898,8203898,ai-first
AI Engineer,Metropolitan Commercial Bank,"New York, NY, USA",In-Office,Senior level,130K-200K Annually,https://builtin.com/job/ai-engineer/7119550,7119550,ai-first
"Staff Engineer, Applied AI",Zapier,2 Locations,Remote,Expert/Leader,275K-412K Annually,https://builtin.com/job/staff-engineer-applied-ai/7888312,7888312,ai-support
Principal AI Engineer,Chainguard,United States,Remote,Senior level,,https://builtin.com/job/principal-ai-engineer/8332487,8332487,ai-first
Forward Deployed AI Engineer,Defense Unicorns,United States,Remote,Mid level,123K-201K Annually,https://builtin.com/job/forward-deployed-ai-engineer/7696349,7696349,ai-first
AI Engineer,OneMagnify,USA,Remote,Junior,,https://builtin.com/job/ai-engineer/8330186,8330186,ai-first
"Software Engineer, AI Product",WorkWhile,4 Locations,In-Office,Mid level,,https://builtin.com/job/software-engineer-ai-product/8041726,8041726,ai-support
Software Engineer - Voice AI Agent,Assembled,United States,Remote,Mid level,135K-280K Annually,https://builtin.com/job/software-engineer-voice-ai-agent/8283259,8283259,ai-support
AI Engineer,LangChain,3 Locations,In-Office or Remote,Senior level,160K-180K Annually,https://builtin.com/job/ai-engineer/8064361,8064361,ai-first
"Applied AI Engineer, Enterprise GenAI",Scale AI,2 Locations,In-Office,Mid level,181K-226K Annually,https://builtin.com/job/applied-ai-engineer-enterprise-genai/7125643,7125643,ai-first
"Forward Deployed AI Engineer, Enterprise",Scale AI,2 Locations,In-Office,Junior,179K-224K Annually,https://builtin.com/job/forward-deployed-engineer/6934349,6934349,ai-first
AI Engineer,Sorcero,United States,Remote,Mid level,150K-180K Annually,https://builtin.com/job/ai-engineer/7425417,7425417,ai-first
"Senior AI Engineer, Agentic Systems",AI Technology Partners,United States,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer-agentic-systems/8316493,8316493,ai-first
Staff AI Engineer,Doma,USA,Remote,Senior level,147K-215K Annually,https://builtin.com/job/staff-ai-engineer/8316159,8316159,ai-first
Sr. AI Engineer,Hercules AI,USA,Remote,Senior level,,https://builtin.com/job/sr-ai-engineer/8312570,8312570,ai-first
AI Engineer,TriEdge Investments,"New York City, NY, USA",In-Office,Mid level,175K-220K Annually,https://builtin.com/job/ai-engineer-hypha-ai/7106001,7106001,ai-first
AI Engineer – Investment Research & Workflows,Point72,"New York, NY, USA",In-Office,Junior,,https://builtin.com/job/ai-engineer-investment-research-workflows/8061454,8061454,ai-first
Principal AV Behavior and AI Safety Engineer: Technical Lead (GPSSC),General Motors,United States,Remote or Hybrid,Senior level,228K-350K Annually,https://builtin.com/job/principal-av-behavior-and-ai-safety-engineer-technical-lead/7371557,7371557,ai-first
AI Engineer,Galileo,United States,Remote,Mid level,130K-180K Annually,https://builtin.com/job/ai-engineer/8306794,8306794,ai-first
Staff AI Engineer (Systems),Strike (simplistic.com),USA,Remote,Mid level,216K-232K Annually,https://builtin.com/job/staff-ai-platform-engineer/8305169,8305169,ai-first
"ML Engineer, Voice & AI",Freed,2 Locations,Hybrid,Mid level,160K-270K Annually,https://builtin.com/job/ml-engineer-voice-ai/7416503,7416503,ai-first
Senior IT Engineer (AI & Automation),Headway,3 Locations,In-Office or Remote,Senior level,152K-179K Annually,https://builtin.com/job/senior-it-engineer-ai-automation/7777666,7777666,ai-support
AI Forward Deployed Engineer,Regal,"New York, NY, USA",Hybrid,Mid level,135K-180K Annually,https://builtin.com/job/ai-forward-deployed-engineer/4387325,4387325,ai-support
AI Engineer,PAR Technology,United States,Remote,Senior level,140K-180K Annually,https://builtin.com/job/ai-engineer/7937664,7937664,ai-first
Applied AI Engineer (Startups),Anthropic,2 Locations,In-Office,Senior level,200K-320K Annually,https://builtin.com/job/applied-ai-engineer-startups/8235236,8235236,ai-first
AI Engineer - Data Platform,Traversal,"New York, NY, USA",In-Office,Mid level,150K-300K Annually,https://builtin.com/job/ai-engineer-data-platform/7095187,7095187,ai-first
AI Engineer - Full-Stack,Traversal,"New York, NY, USA",In-Office,Mid level,150K-300K Annually,https://builtin.com/job/ai-engineer-full-stack/7095189,7095189,ai-first
AI Engineer - Agents,Traversal,"New York, NY, USA",In-Office,Mid level,150K-300K Annually,https://builtin.com/job/ai-engineer-agents/7095186,7095186,ai-first
AI Engineer - Site Reliability Researcher,Traversal,"New York, NY, USA",In-Office,Junior,150K-300K Annually,https://builtin.com/job/ai-engineer-site-reliability-researcher/7095191,7095191,ai-first
Applied AI Engineer,Flora Fauna AI,"New York City, NY, USA",In-Office,Senior level,5-5 Annually,https://builtin.com/job/agent-engineer/7758593,7758593,ai-first
AI engineer,Writer,2 Locations,In-Office or Remote,Mid level,152K-316K Annually,https://builtin.com/job/ai-engineer/8233170,8233170,ai-first
"Applied AI Engineer, Beneficial Deployments",Anthropic,2 Locations,In-Office,Mid level,280K-300K Annually,https://builtin.com/job/applied-ai-engineer-beneficial-deployments/8232689,8232689,ai-first
Senior Backend Engineer - AI Integration Discovery,Jellyfish,United States,Remote or Hybrid,Senior level,165K-235K Annually,https://builtin.com/job/senior-backend-engineer-ai-integration-discovery/8061691,8061691,ai-support
Senior Backend Engineer - Native AI Platform,Jellyfish,United States,Remote or Hybrid,Senior level,165K-235K Annually,https://builtin.com/job/senior-backend-engineer-native-ai-platfom/8061699,8061699,ai-support
"Senior Backend Engineer, AI Systems",Jellyfish,United States,Remote or Hybrid,Senior level,165K-235K Annually,https://builtin.com/job/senior-backend-engineer-ai-systems/8061693,8061693,ai-support
"Sr Software Engineer, AI",Basis,United States,Remote,Senior level,118K-184K Annually,https://builtin.com/job/sr-software-engineer-ai/8254649,8254649,ai-support
"Senior AI Engineer, AI Services",AHEAD,United States,Remote,Senior level,230K-300K Annually,https://builtin.com/job/senior-ai-engineer-ai-services/7898928,7898928,ai-first
"AI Engineer, AI Services",AHEAD,United States,Remote,Mid level,180K-230K Annually,https://builtin.com/job/ai-engineer-ai-services/7898925,7898925,ai-first
Applied AI Engineer & Researcher,Speechify,USA,Remote,Senior level,,https://builtin.com/job/senior-applied-ai-scientist/1393425,1393425,ai-first
Founding AI Engineer,August Law,"New York City, NY, USA",In-Office,Mid level,175K-300K Annually,https://builtin.com/job/founding-ai-engineer/7569421,7569421,ai-first
AI Engineer,Titan (titanmsp.ai),2 Locations,In-Office,Mid level,175K-350K Annually,https://builtin.com/job/ai-engineer/7569544,7569544,ai-first
Lead AI Engineer,Humana,5 Locations,In-Office,Senior level,157K-215K Annually,https://builtin.com/job/lead-ai-engineer/8004304,8004304,ai-first
Lead AI Engineer,Lyric - Clarity in motion.,United States,Remote,Senior level,212K-317K Annually,https://builtin.com/job/lead-ai-engineer/6734139,6734139,ai-first
Senior Security Engineer (AI Security),Justworks,"New York, NY, USA",Hybrid,Senior level,168K-226K Annually,https://builtin.com/job/senior-security-engineer-ai-security/7482740,7482740,ai-support
"Applied AI Engineer, Internal Tooling - New York",Automattic,USA,Remote,Mid level,170K-230K Annually,https://builtin.com/job/applied-ai-engineer-internal-tooling-new-york/8296668,8296668,ai-first
Senior Software Engineer | AI,8am (Formerly AffiniPay),United States,Remote,Senior level,150K-180K Annually,https://builtin.com/job/senior-software-engineer-ai/8064450,8064450,ai-support
"Principal Product Manager, Gen AI Developer Tools",Anaconda,United States,Remote,Senior level,163K-282K Annually,https://builtin.com/job/principal-product-manager-gen-ai-developer-tools/7641334,7641334,ai-first
Senior AI Engineer - Monetization Platform,Yahoo,United States of America,Remote,Mid level,128K-267K Annually,https://builtin.com/job/senior-ai-engineer-monetization-platform/6623720,6623720,ai-first
AI Engineer - Infrastructure,Traversal,"New York, NY, USA",In-Office,Mid level,150K-300K Annually,https://builtin.com/job/ai-engineer-infrastructure/8198846,8198846,ai-first
AI Developer,Harvard Business Publishing,US,Remote,Senior level,150K-170K Annually,https://builtin.com/job/ai-developer/8291746,8291746,ai-first
AI Engineer - AI Platform,Traversal,"New York, NY, USA",In-Office,Senior level,150K-300K Annually,https://builtin.com/job/ai-engineer-ai-platform/7298636,7298636,ai-first
Senior Generative AI Engineer,Natera,US,Remote,Senior level,125K-156K Annually,https://builtin.com/job/senior-generative-ai-engineer/8285932,8285932,ai-first
Senior AI Engineer,Curai Health,USA,Remote,Senior level,200K-220K Annually,https://builtin.com/job/senior-ai-engineer/7639838,7639838,ai-first
Staff AI Engineer,Curai Health,USA,Remote,Senior level,240K-260K Annually,https://builtin.com/job/staff-ai-engineer/7639839,7639839,ai-first
Senior AI Engineer,Optimal Dynamics,USA,Remote,Senior level,170K-200K Annually,https://builtin.com/job/senior-ai-engineer/7161831,7161831,ai-first
Senior AI Engineer,Ethos,US,Remote,Senior level,146K-236K Annually,https://builtin.com/job/ai-engineer/8281490,8281490,ai-first
AI Engineer,Precision Medicine Group,United States,Remote,Mid level,134K-165K Annually,https://builtin.com/job/ai-engineer/8279157,8279157,ai-first
Senior AI Engineer,Spara,"New York City, NY, USA",In-Office,Senior level,180K-220K Annually,https://builtin.com/job/senior-ai-engineer/8031582,8031582,ai-first
Senior/Staff AI Engineer,Homebound,US,Remote or Hybrid,Senior level,180K-230K Annually,https://builtin.com/job/senior-staff-ai-engineer/8273867,8273867,ai-first
Applied AI Engineer,Ramp,2 Locations,In-Office,Entry level,155K-340K Annually,https://builtin.com/job/applied-ai-engineer-all-levels/8178250,8178250,ai-first
Applied AI Engineer,Arc (joinarc.com),8 Locations,In-Office or Remote,Senior level,180K-300K Annually,https://builtin.com/job/applied-ai-engineer/8177557,8177557,ai-first
Senior AI Engineer,Prokeep,United States,Remote,Senior level,,https://builtin.com/job/senior-ai-engineer/8271905,8271905,ai-first
AI Solution Engineer,Hewlett Packard Enterprise,7 Locations,In-Office or Remote,Mid level,135K-311K Annually,https://builtin.com/job/ai-solution-engineer/7891269,7891269,ai-support
Junior AI Engineer,Tria Federal,USA,Remote,Mid level,,https://builtin.com/job/agentic-ai-engineer/7627971,7627971,ai-first
"Lead/Staff Full Stack Engineer, AI Platform & Agents (US/Canada Hybrid/Remote)",Wolters Kluwer,7 Locations,In-Office or Remote,Senior level,97K-174K Annually,https://builtin.com/job/lead-staff-full-stack-engineer-ai-platform-agents-us-canada-hybrid-remote/7570872,7570872,ai-support
"Senior Principal Software Engineer – AI Enablement, Engineering Productivity & Digital Assets (Hybrid - Flexible Options)",Broadridge,"New York, NY, USA",In-Office,Senior level,200K-250K Annually,https://builtin.com/job/senior-principal-software-engineer-ai-enablement-engineering-productivity-digital-assets-hybrid-flexible-options/8377335,8377335,ai-support
Lead AI Engineer,Tidal Financial Group,United States,Remote,Senior level,,https://builtin.com/job/ai-lead-engineer/8266626,8266626,ai-first
AI Native Software Engineer,Accenture,24 Locations,In-Office,Mid level,64K-196K Annually,https://builtin.com/job/ai-native-software-engineer/8395514,8395514,ai-support
Senior Engineer- Applied AI (Python),GEICO,5 Locations,In-Office,Senior level,100K-215K Annually,https://builtin.com/job/senior-engineer-applied-ai-python/8395023,8395023,ai-support
"Frontend Engineer, AI Observability & Evals Platform",LangChain,3 Locations,In-Office,Mid level,155K-195K Annually,https://builtin.com/job/frontend-engineer-ai-observability-evals-platform/8394680,8394680,ai-support
Senior Software Engineer for AI Startup,Makai Labs,3 Locations,In-Office or Remote,Senior level,120K-150K Annually,https://builtin.com/job/senior-software-engineer-ai-startup/7034922,7034922,ai-support
Lead AI Software Engineer,WorldQuant,5 Locations,In-Office,Mid level,150K-250K Annually,https://builtin.com/job/lead-ai-software-engineer/8163003,8163003,ai-support
Senior Principal Research Engineer: AEC Geometric Data - Generative AI,Autodesk,23 Locations,In-Office or Remote,Senior level,169K-303K Annually,https://builtin.com/job/senior-principal-research-engineer-aec-geometric-data-generative-ai/8394404,8394404,ai-first
Staff AI Engineer,Spara,"New York City, NY, USA",In-Office,Senior level,210K-250K Annually,https://builtin.com/job/staff-ai-engineer/6473744,6473744,ai-first
AI Engineer,Pathwork,"Brooklyn, New York, NY, USA",In-Office,Senior level,150K-220K Annually,https://builtin.com/job/ai-engineer/7780691,7780691,ai-first
AI Engineer,Moment,"New York, NY, USA",In-Office,Mid level,200K-325K Annually,https://builtin.com/job/ai-engineer/8008708,8008708,ai-first
Senior AI Engineer,Talkspace,"New York, NY, USA",In-Office or Remote,Senior level,169K-200K Annually,https://builtin.com/job/senior-ai-engineer/8018375,8018375,ai-first
Applied AI Engineer (New York),Automattic,"New York City, NY, USA",In-Office,Senior level,130K-250K Annually,https://builtin.com/job/applied-ai-engineer-new-york/7046632,7046632,ai-first
Lead Identity Engineer – API  & AI Gateways,S&P Global,3 Locations,In-Office,Senior level,120K-175K Annually,https://builtin.com/job/lead-identity-engineer-api-ai-gateways/8189294,8189294,ai-support
Software Engineer - AI Platform,Accrete AI,"New York, NY, USA",In-Office,Mid level,120K-180K Annually,https://builtin.com/job/software-engineer-ai-platform/8390205,8390205,ai-support
Senior Software Engineer - AI Products,Consumer Edge,2 Locations,In-Office,Senior level,140K-180K Annually,https://builtin.com/job/senior-software-engineer/8388249,8388249,ai-support
"Senior Software Engineer, AI Developer Experience",Vanta,2 Locations,Remote,Senior level,179K-244K Annually,https://builtin.com/job/senior-software-engineer-ai-developer-experience/8258893,8258893,ai-first
Lead Software Engineer AI - (Materia AI),Thomson Reuters,"New York, NY, USA",Hybrid,Senior level,127K-237K Annually,https://builtin.com/job/lead-software-engineer-ai-materia-ai/8030089,8030089,ai-support
"Lead/Staff Software Engineer, AI",Thomson Reuters,6 Locations,Hybrid,Senior level,137K-293K Annually,https://builtin.com/job/lead-staff-software-engineer-ai/7925740,7925740,ai-support
Staff Platform Engineer - Materia AI,Thomson Reuters,5 Locations,Hybrid,Senior level,102K-190K Annually,https://builtin.com/job/staff-platform-engineer-materia-ai/8043046,8043046,ai-support
Summer 2026 AI Engineer Intern,"Datacor, Inc.",US,Remote,Internship,,https://builtin.com/job/summer-2026-ai-engineer-intern/7602738,7602738,ai-first
Senior Software Engineer - AI I,Thomson Reuters,4 Locations,Hybrid,Senior level,100K-235K Annually,https://builtin.com/job/senior-software-engineer-ai-i/8373747,8373747,ai-support
